MCWWS 插件更新报告（优先 Paper 构建）
扫描: 138 个 jar
可自动更新: 16
已是最新: 7
需人工确认: 5
无更新源/Slimefun 等: 86

=== 可下载更新 ===
CommandAPI | 11.1.0 -> 12.0.0 | modrinth:commandapi | CommandAPI-12.0.0-Paper.jar
CommandTimer | 8.8.0 -> 8.17.1 | modrinth:commandtimer | commandtimer-java8%20%286%29.jar
DecentHolograms | 2.9.9 -> 2.10.1 | modrinth:decentholograms | DecentHolograms-2.10.1.jar
Essentials | 2.21.2 -> 2.22.0 | modrinth:essentialsx | EssentialsX-2.22.0.jar
FastAsyncWorldEdit | 2.15.2+e9ed0d1 -> 2.15.3 | modrinth:fastasyncworldedit | FastAsyncWorldEdit-Paper-2.15.3.jar
GriefPrevention | 16.18.4 -> 16.18.7 | modrinth:griefprevention | GriefPrevention.jar
GSit | 3.2.0 -> 3.5.1 | modrinth:gsit | GSit-3.5.1.jar
InventoryRollbackPlus | 1.7.9 -> 1.8.4 | modrinth:inventoryrollbackplus | InventoryRollbackPlus-1.8.4.jar
ItemEdit | 3.7.0 -> 3.7.10 | modrinth:itemedit | ItemEdit-3.7.10.jar
PlaceholderAPI | 2.11.7 -> 2.12.3 | modrinth:placeholderapi | PlaceholderAPI-2.12.3.jar
PlayerParticles | 8.11 -> 8.12 | modrinth:playerparticles | PlayerParticles-8.12.jar
PluginPortal | 3.0.7 -> 3.8.6 | modrinth:pluginportal | PluginPortal-3.8.6.jar
ServerVariables | 3.6.2 -> 3.7.2 | modrinth:servervariables | ServerVariables-3.7.2.jar
Skript | 2.15.2 -> 2.16.1 | modrinth:skript | Skript-2.16.1.jar
UltimateShop | 4.4.8 -> 4.7.6 | modrinth:ultimateshop | UltimateShop-4.7.6.jar
WorldGuard | 7.0.13+82fdc65 -> 7.0.17 | modrinth:worldguard | worldguard-bukkit-7.0.17.jar

=== 建议人工查看（有新版但版本格式特殊）===
EssentialsChat | 2.21.1-dev+13-be3e641 -> 2.22.0 | 版本号非纯数字，请人工确认
EssentialsSpawn | 2.21.1-dev+13-be3e641 -> 2.22.0 | 版本号非纯数字，请人工确认
floodgate | 2.2.4-SNAPSHOT (b116-0e3163c) -> 2.2.6-b67 | 版本号非纯数字，请人工确认
Geyser-Spigot | 2.9.2-SNAPSHOT -> 2.11.0-b1205 | 版本号非纯数字，请人工确认
LuckPerms | 5.4.158 -> v5.5.53-bukkit | 版本号非纯数字，请人工确认

=== 未配置源（需 Spigot/Slimefun 构建站/手动）===
AdvancedGUI | 2.2.10 | AdvancedGUI-2.2.10-RELEASE.jar
AlchimiaVitae | Build 9 (git 95fc682) | AlchimiaVitae-Build 9 (git 95fc682).jar
AnvilPanel | ? | AnvilPanel-1.1.0.jar
AxiomPaper | 5.0.4+1.21.11 | AxiomPaperPlugin-5.0.4-for-MC1.21.11.jar
BackpackPlus | 1.5.6-beta | BackpackPlus-1.5.6-beta-all.jar
BetterBags | 1.2.1 | BetterBags.jar
Bump | Build 43 (git 8952c73) | Bump-Build 40 (git 811005e).jar
MyFirstAddon | Build 1 zh-CN(SlimefunGuguProject) (git 82208d8) | Cakecraft-Build 1 zh-CN(SlimefunGuguProject) (git 82208d8).jar
CitizensGUI | 1.12 | CitizensGui.jar
clientizen-beta-1.0-74 | ? | clientizen-beta-1.0-74.jar
CMILib | 1.5.9.9 | CMILib1.5.9.9.jar
ColoredAnvils | 2.0.0 | colored-anvils-2.0.0.jar
ColoredEnderChests | Build 4 (git c99f079) | ColoredEnderChests-Build 4 (git c99f079).jar
ColorGradient | 0.0.5-b1 | ColorGradient-0.0.5-b1.jar
CreeperConfetti | 1.4 | CreeperConfetti-1.4.jar
Cultivation | Build 16 (git efc77ed) | Cultivation-Build 6 (git 637dbf7).jar
CurveBuilding | unspecified | curvebuilding-bukkit-0.6.3.jar
CustomCrafting | 4.19.0 | customcrafting-spigot-4.19.0.jar
DeluxeMenus | 1.14.1-DEV-199 | DeluxeMenus-1.14.1-DEV-199.jar
Depenizen | 2.1.1 (build 878) | Depenizen-2.1.1-b878.jar
DracFun | 2.0.2 | DracFun v2.0.2.jar
DyedBackpacks | Build 3 (git d4e0e45) | DyedBackpacks-Build 3 (git d4e0e45).jar
DynaTech | Build 83 (git 2e31d18) | DynaTech-Build 81 (git 02e53b9).jar
EcoPower | Build 1 zh-CN(ybw0014) (git eca8ab1) | EcoPower-Build 1 zh-CN(ybw0014) (git eca8ab1).jar
ElectricSpawners | Build 5 (git 6fa0de2) | ElectricSpawners-Build 5 (git 6fa0de2).jar
EssentialsGeoIP | 2.21.1-dev+13-be3e641 | EssentialsXGeoIP-2.21.1-dev+13-be3e641.jar
ExoticGarden | Build 17 (git 2a33c6d) | ExoticGarden-Build 17 (git 2a33c6d).jar
ExtraGear | Build 2 zh-CN(ybw0014) (git ff13031) | ExtraGear-Build 2 zh-CN(ybw0014) (git ff13031).jar
ExtraHeads | Build 6 (git 91961af) | ExtraHeads-Build 2 (git 6c77b79).jar
ExtraTools | Build 6 (git 204b2a5) | ExtraTools-Build 6 (git 204b2a5).jar
FlowerPower | Build 8 (git 1e40794) | FlowerPower-Build 5 (git 751c814).jar
FluffyMachines | Build 40 (git 7583dd9) | FluffyMachines-Build 35 (git 8a81689).jar
FlyWithFood | 2.0.7 | FlyWithFood-2.0.7-all.jar
FNAmplifications | Build 14 (git d5faa38) | FN-FAL-s-Amplifications-Build 14 (git d5faa38).jar
FoliaCompatibleAPI | 1.2.0 | FoliaCompatibleAPI-1.2.0.jar
FoxyMachines | Build 34 (git 835ad8f) | FoxyMachines-Build 27 (git c3b303e).jar
Gastronomicon | Build 8 (git 363b8ef) | Gastronomicon-Build 8 (git 363b8ef).jar
GeneticChickengineering | Build 8 (git a6cd374) | GeneticChickengineering-Build 8 (git a6cd374).jar
GuizhanLibPlugin | Build 62 (git aad97af) | GuizhanLibPlugin-Build 62 (git aad97af).jar
HeadDB | 2.2 | HeadDB-2.2.jar
HotbarPets | Build 3 zh-CN(ybw0014) (git 92415a4) | HotbarPets-Build 3 zh-CN(ybw0014) (git 92415a4).jar
ILoreEdit | 2.7.1 | ILoreEdit-2.7.1.jar
InfinityExpansion | Build 16 (git 850718f) | InfinityExpansion-Build 15 (git bebf0bd).jar
NBTAPI | 2.15.1 | item-nbt-api-plugin-2.15.1.jar
ItemCommand | 1.3.2 | ItemCommand-1.3.2.jar
ItemNBTEdit | 1.2.3 | ItemNBTEdit-1.2.3.jar
LiteXpansion | Build 35 (git 47857d1) | LiteXpansion-Build 30 (git 014e535).jar
MobCapturer | Build 24 (git dc047fd) | MobCapturer-Build 15 (git cc3a3c5).jar
MoreBagPro | 1.2.9 | MoreBag Pro[tinksp.com].jar
... 另有 36 个
